ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
192.168.1.149,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18,6691
192.168.1.149,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2,254
192.168.1.149,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1,148
192.168.1.149,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1.0,148.0,2019/04/08 23:20:10,1,46
192.168.1.149,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1.0,148.0,2019/04/08 23:20:10,1.0,46.0,2019/04/08 23:20:18,5,768
192.168.1.149,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1.0,148.0,2019/04/08 23:20:10,1.0,46.0,2019/04/08 23:20:18,5.0,768.0,2019/04/08 23:20:19,2,256
192.168.1.149,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1.0,148.0,2019/04/08 23:20:10,1.0,46.0,2019/04/08 23:20:18,5.0,768.0,2019/04/08 23:20:19,2.0,256.0,2019/04/08 23:20:25,1,46
192.168.1.149,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1.0,148.0,2019/04/08 23:20:10,1.0,46.0,2019/04/08 23:20:18,5.0,768.0,2019/04/08 23:20:19,2.0,256.0,2019/04/08 23:20:25,1.0,46.0,2019/04/08 23:20:44,1,52
192.168.1.149,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1.0,52.0,2019/04/08 23:19:51,18.0,6691.0,2019/04/08 23:19:56,2.0,254.0,2019/04/08 23:19:57,1.0,148.0,2019/04/08 23:20:10,1.0,46.0,2019/04/08 23:20:18,5.0,768.0,2019/04/08 23:20:19,2.0,256.0,2019/04/08 23:20:25,1.0,46.0,2019/04/08 23:20:44,1.0,52.0,2019/04/08 23:20:50,1,46
192.168.1.149,2019/04/08 23:21:09,2.0,98.0,2019/04/08 23:21:11,4.0,582.0,2019/04/08 23:21:24,1.0,46.0,2019/04/08 23:21:33,11.0,2518.0,2019/04/08 23:21:38,1.0,52.0,2019/04/08 23:21:48,1.0,46.0,2019/04/08 23:22:03,1.0,52.0,2019/04/08 23:22:09,1.0,46.0,2019/04/08 23:22:27,1.0,52.0,2019/04/08 23:22:32,1.0,39.0,2019/04/08 23:22:49,1,31
